territory, teritoryo, teritoryo: 285
corruption, katiwalian, korapsyon: 272
criminality, krimen, kriminalidad: 158
terrorism, terorismo, terorismo: 120
law enforcement, pagpapatupad batas, pagpatuman balaod: 36
peace order, kapayapaan kaayusan, kalinaw kahusay: 4
create job, lumikha trabaho, paghimo trabaho: 0
protect environment, protektahan kapaligiran, pagpanalipod palibot: 0
reduce tax, bawasan buwis, pagpakunhod buhis: 0
protect ofw, protektahan ofw, pagpanalipod ofw: 0
population control, kontrol populasyon, kontrol populasyon: 0
change constitution, baguhin saligang batas, usbon konstitusyon: 0
April 06, 2019 - April 13, 2019 | 12:24 PM
